date,vendor,description,amount_cad,category,funding_source,status,tax_treatment,evidence,notes
2026-07-18,Murray GM Abbotsford,Truck 002 down payment,2500.00,vehicle,owner_loan,approved,capital_asset,CIBC Visa screenshot,"Verified personal-card charge; financing principal/interest tracked separately"
2026-07-21,Amazon / U-POL,Raptor truck coating,280.31,vehicle,owner_loan,approved,current_expense,CIBC Visa + Gmail receipt,"Work-truck coating"
2026-07-13,Best Buy Marketplace,iPad Air 11-inch M2 1TB and applicable order charges,1118.88,equipment,owner_loan,approved,capital_asset,CIBC Visa + Gmail order,"Business/IHOS device; use posted card total"
2026-07-17,Amazon,Rokform work-phone case,106.39,equipment,owner_loan,approved,current_expense,CIBC Visa + Gmail receipt,"Business phone protection"
2026-07-17,Amazon,iPad screen protection,34.71,equipment,owner_loan,approved,current_expense,CIBC Visa + Gmail receipt,"Accessory for business iPad"
2026-07-12,Apple,ChatGPT Plus and Adobe Acrobat services,49.26,software,owner_loan,approved,current_expense,CIBC Visa + email receipt,"Business software/services"
2026-07-16,UptimeRobot,Monitoring service,121.22,software,owner_loan,approved,current_expense,CIBC Visa screenshot,"IHOS/web service monitoring"
2026-07-21,Fraser Valley Custom Print,Company printing/branding,100.80,marketing,owner_loan,approved,current_expense,CIBC Visa screenshot,"Iron House printing/branding"
2026-07-20,Shell Tsawwassen,Vehicle fuel,22.98,fuel,owner_loan,review,current_expense,CIBC Visa screenshot,"Retain for vehicle/business-purpose confirmation"
2026-07-18,Lordco Parts,Vehicle parts,51.51,vehicle,owner_loan,review,current_expense,CIBC Visa screenshot,"Likely work vehicle; receipt/business purpose to confirm"
2026-07-18,Fortin's Home Hardware,Hardware purchase,59.31,tools,owner_loan,review,current_expense,CIBC Visa screenshot,"Likely work purchase; item detail to confirm"
2026-07-19,Bailey Landfill,Landfill charge,21.00,other,owner_loan,review,current_expense,CIBC Visa screenshot,"Likely work disposal; job/business purpose to confirm"
2026-07-12,Home Depot,Hardware/material purchase,46.57,tools,owner_loan,review,current_expense,CIBC Visa screenshot,"Probable work expense; receipt detail to confirm"
2026-07-20,Cash purchase,Tidy tank / fuel caddy for Truck 002,750.00,equipment,owner_loan,approved,capital_asset,User-provided amount + CIBC cash advance evidence,"Receipt pending; attached to Truck 002"
